doc_id,text,platform
102,dds pasalamatan tatay digong pamumuno noong babahain kagrabe cebu iba pang lugar pilipinas duterte duterte duterte,youtube
103,ilagay iko construct offering bad spirit padugo,youtube
104,lawyer must show receipt proof serious threat life always ginagamit serious threat show threat harapin imbestigasyon namang ginawang masama matatakot uwi lalo pang lalala kakaharapin,youtube
105,bitayin,youtube
106,pambihira panay dating pagkain magnanakaw,youtube
107,makulong kurakot indi nakita nangyari cebu kurakot governo nakakagigil,youtube
108,korap malunod baha,youtube
109,kulong kulong korap,youtube
110,jusko bat pang nakukulong,youtube
111,namang nakukulong,youtube
112,kulong,youtube
113,even famous damn disappoint government,youtube
114,halip ilaan bywis bayan pangangailangan mamamayan kinakatay katakawan bywaya pamahalaan,youtube
115,asa bansang hangga namumungad hunayupak matatakaw politiko merong tagapag tanggol,youtube
116,kapusakal kinauukulang opisyal pamahalaan tamang konsyensya mapunan laang kasibaan pondo buwis bayan,youtube
117,nakakahiya corrupt politiko pilipinas pinaguusapan buong mundo nabibitay protektado mafia gobyerno,youtube
118,tama panggulo pang delay ginagawa marcolekta nagmamagaling kapos kaalaman pera pera isip,youtube
119,marcoleta abogado kana discaya magresign kana pangulo nagiging smooth,youtube
120,kinalawang bilanguan ginawa hangang mabilango malapit napo pasko give nalng know kakahiya buong mundo ginagawa ibinoto,youtube
121,wagna esali markoletasahearing,youtube
122,likes marcoletakke studied law became lawyets defend weak poor marginalized innocent etc rather studied law became lawyers know bend manipulate defeat bypass exploit flaws backdoors vulnerabilities cracks system law exploit use weaknesses advantages political careers build wealth regardless means obtain wealths,youtube
123,marcoleta hoy,youtube
124,bastos marcobita,youtube
125,panira tlga peluka hay nku imbes mkatapos,youtube
126,panira tlga peluka hay nku imbes mkatapos,youtube
127,kayong limang senador nanalo kayong delikadesa kpit tuko kayong animal tinatablan hiya bayan ttigas lumayas,youtube
128,boy ulagang tagapagtanggol kawatan kumunistang china,youtube
129,inquiry main purpose legislate law indict individuals results investigation used culprit court law filed doj ombudsman favor government reproach blame job,youtube
130,mangyaya sinongaling uwi magandang panoorin,youtube
131,olol marcolita standby tuloy,youtube
132,marculeta magulo imbestigasyon masyadong maepal,youtube
133,marcolitainc pronto,youtube
134,ayaw lacson mabunyag pinag tatakpan pera pera ibang mang babatas election tingnan back ground nitong senador papadala matatamis pangako,youtube
135,palagay pinsan marcoleta magsalita,youtube
136,ikulong kurakot,youtube
137,million marculeta ginamit election galing discaya nagpapakamatay ipagtanggol marculeya discaya sara lustay,youtube
138,zaldy romualdez marcos kasali,youtube
140,appears sen marcoleta habit delaying hearings raising called prejudicial questions instead continuing hora mismo investigations given cmte limited number hours marcoleta wasn able pursue discaya couple request witness protection sen lacson mentioned brice hernandez radio interview lacson temporarily chairman marcoleta back trying raise questions delay questioning many invited persons investigation marcoleta wants restitution discaya couple possible cases would decided courts take decades resolve time makokolekta govierno marcoleta,youtube
141,paulit ulit post binabago hayop gusto gumawa bagong tlga bang ngyari last days,youtube
142,hay naku magnanakaw pera bayan,youtube
143,kabuhay marcolita kunra kakampi contractor,youtube
144,kulit luigar,youtube
145,walaka lacson butataka sen marcoleta,youtube
146,bida bids tong makulita nato,youtube
147,lumilihis pinky tanong,youtube
148,kaylan issue han warrant pinky martin zaldy bbm,youtube
149,sira ulo tlga marcoleta umpisa gnun agad daig pang wlng pinag aralan kampi marcoleta,youtube
150,milyon bilyon pinag uusapan,youtube
151,nagmamagaling corrupt marcolekta seguro nakakuha commission discaya,youtube
152,tamaan kidlat magnanakaw sinungsking kaka daming palusot paikot ikot,youtube
154,contrabidang markobeta gusting pagtakpan ayaw nyang mabunyag gustong ekut ikutin sen ping making mole small hole sen ping words,youtube
